HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HIT_ID,Input.pr_link,Input.contributors_url,Input.closer,Input.cores,Input.p_num,Input.c_num,Answer.Comment,Input.submitter,Answer.P1_Submitter,Answer.P2_Cores,Answer.P3_External,Answer.Q1_Support?,Answer.Q1_Support_Comment,Answer.Q2_Alternate S?,Answer.Q2_Alternate_Comment,Answer.Q3_Dis_Solution?,Answer.Q3_Dis_Solution_Comment,Answer.Q4_Dis_Problem?,Answer.Q4_Dis_Problem_Comment,AssignmentId,Input.merged,Answer.Q5_Outcome?,Answer.Q5_Outcome_Comment?,Approve,Reject
@BryanCutler it looks great, thanks!",N,{},"Y,improve","One overall comment about the seeds: it is unclear what None means, and it has a different behavior between spark.ml and spark.mllib.",N,{},3DR23U6WE62BMVYA1CE1K54SZURTEJ,FALSE,NY,LGTM. Merged into master. Thanks!,,

3Q2T3FD0ONW2DIUZDTRSRGAIUBM3MI,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:46 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Tue Nov 08 05:54:51 PST 2016,Tue Nov 08 06:00:12 PST 2016,Tue Nov 15 06:00:12 PST 2016,,,,321,98% (39/40),0% (0/1),0% (0/1),1360,https://github.com/kubernetes/kubernetes/pull/19337,https://github.com/kubernetes/kubernetes/graphs/contributors,k8s-merge-robot,"k8s-merge-robot, brendandburns, lavalamp",3,19,{},danielschonfeld,danielschonfeld,"thockin, justinsb, bprashanth, zmerlynn, smarterclayton, vmarmol, wojtek-t, lavalamp, erictune, eparis, k8s-merge-robot, piosz, jlowdermilk, satnam6502, saad-ali, dchen1107, deads2k, roberthbailey, vishh, jbeda, bgrant0607, caesarxuchao, yujuhong, mikedanese, nikhiljindal, gmarek, a-robinson, sttts, brendandburns, derekwaynecarr","danielschonfeld, k8s-bot, k8s-teamcity-mesosphere, googlebot","Y,core","Sorry - more comments! But this is good stuff.



A few edge cases that I think we need to fix or document that they don't really happen, but I think this is close.



$$$$



Looks great - I will LGTM when the tests pass!",N,{},N,{},N,{},3HYA4D452S798A4TD8EB10G3FA62FL,TRUE,YY,k8s-merge-robot merged commit e0e305c into kubernetes:master on Jan 8,,

3HY86PZXPY68RRO79RPQQFQCNPH1EZ,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:47 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Thu Nov 10 03:44:22 PST 2016,Thu Nov 10 04:01:09 PST 2016,Thu Nov 17 04:01:09 PST 2016,,,,1007,98% (39/40),0% (0/1),0% (0/1),1362,https://github.com/networkx/networkx/pull/1915,https://github.com/networkx/networkx/graphs/contributors,chebee7i,"hagberg, dschult, chebee7i",4,19,{},nishnik,nishnik,"SanketDG, jfinkels, Scinawa, k-karakatsanis, hagberg, jtorrents, ysitu, loicseguin, dschult, thegreathippo, chebee7i, thenovices",OrkoHunter,"Y,core",Thanks for the contribution @nishnik!,N,{},N,{},N,{},31QTRG6Q2U1B08MUKWHBMYVCXRUPYR,TRUE,YY,chebee7i merged commit d0e4b1a into networkx:master on Jul 27,,

3DW3BNF1GH6742UE32NF5T161QQ8VW,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:47 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 04:19:45 PST 2016,Mon Nov 07 04:50:51 PST 2016,Mon Nov 14 04:50:51 PST 2016,,,,1866,98% (39/40),0% (0/1),0% (0/1),1365,https://github.com/openshift/origin/pull/6596,https://github.com/openshift/origin/graphs/contributors,openshift-bot,"openshift-bot, smarterclayton, deads2k",3,19,{},jwforres,jwforres,"ncdc, danwinship, bparees, deads2k, openshift-bot, rajatchopra, jwforres, smarterclayton, pravisankar, danmcp, dcbw, mfojtik, liggitt",openshift-bot,"Y,core","$$$$



nits, LGTM otherwise



$$$$



nit on ""useRedirectHandler"" param name, LGTM otherwise



$$$$",N,{},N,{},N,{},3634BBTX0PIDJVIV2BZ3OGNJ3DCIFW,TRUE,YY,"@openshift-bot openshift-bot merged commit e9f3b32 into openshift:master on Jan 30



$$$$



LGTM, [merge]",,

38VTL6WC4A15LE6HAF3W08V9HHR5Y0,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:41 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 08:49:47 PST 2016,Mon Nov 07 08:58:23 PST 2016,Mon Nov 14 08:58:23 PST 2016,,,,516,98% (39/40),0% (0/1),0% (0/1),1366,https://github.com/javiereguiluz/EasyAdminBundle/pull/784,https://github.com/javiereguiluz/EasyAdminBundle/graphs/contributors,javiereguiluz,"javiereguiluz, ogizanagi",5,19,{},javiereguiluz,javiereguiluz,"thomasbeaujean, maldoinc, javiereguiluz","reypm, Pierstoval, rubengc, ogizanagi","Y,others",":+1: yes for me this will work and covers almost everything I could do with a menu. If this is will be implemented soon I am very graceful since this is a missing part of this amazing bundle which day by day is more likely Admin Generator from Symfony1 but with goodness from Symfony2|3



And for the second I haven't experience so I can't help there I just get sticky to the rules by the masters behind the Bundle :smiley:



$$$$



I'm fine with the removal of the link level from my suggestion. It indeed makes sense, as even the label and icon options can be considered kind of as part of the link generation. So having it at the same level isn't a problem. 

What I wanted to avoid is only the type option :smiley:



:+1: about priority (but I'll remove the action based configuration to only keep route and url).



About the params option, I don't think we have a lot of solutions. And having it in a dedicated config option is the most flexible.



$$$$



@javiereguiluz this sounds awesome and I think this config can resolve any need



I love this feature



$$$$



Yeah :+1: for AdminLTE I mention here time ago about how to use and/or integrate and @javiereguiluz tell me wasn't necessary since EasyAdmin have it's own theme but I am in favor of change to AdminLTE a huge step though



$$$$



@javiereguiluz : I didn't have fully reviewed it yet, but it looks great. Awesome work ! :clap: 

About empty elements, why not renaming it to divider elements as you mentioned it ?

Also I'd suggest that a divider with an empty label generate an simple line divider.","Y,others","Instead of having different menus, do you think it's feasible to implement the push-menu thing as in LTE and other popular themes ? http://www.jasny.net/bootstrap/examples/navmenu-push/



I'm not against replacing our current theme by LTE if you think it makes sense, though.","Y,inconsistency","@ogizanagi about menu dividers, I prefer to not do these changes. First, to not complicate things more. Second, because AdminLTE doesn't support these ""line dividers"" yet. We can always implement this in the future.",N,{},3K4J6M3CXFH4RDVS17D8P3ZCRODAGX,FALSE,NN,javiereguiluz closed this in 6dfe83f on Jan 17,,

3OEWW2KGQJZOVDH8JYCHWTLZGOPODF,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:41 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Tue Nov 08 05:46:55 PST 2016,Tue Nov 08 05:54:47 PST 2016,Tue Nov 15 05:54:47 PST 2016,,,,472,98% (39/40),0% (0/1),0% (0/1),1368,https://github.com/balloob/home-assistant/pull/871,https://github.com/balloob/home-assistant/graphs/contributors,balloob,"balloob, fabaff, pavoni",5,19,{},rmkraus,rmkraus,"•À_•À_•À_•À_rmkraus, jamespcole, rhooper, pavoni, happyleavesaoc, andythigpen, Danielhiversen, philipbl, turbokongen, persandstrom, balloob, robbiet480, MartinHjelmare, kk7ds, jaharkes, fabaff, sfam, theolind, pvizeli, molobrakos, w1ll1am23, tomduijf","maddox, anthonykeane, Bart274","Y,others","I read what this new component can DO, but could you provide a real world example of what it does and what it solved? I'm super interested.



Thanks!



$$$$



That would be a nice addition! :)",N,{},N,{},N,{},3NOKK93PR2W9XCGDBHP6LJ4S0C4EE4,FALSE,NY,Merged! a0ddda4,,

39WICJI5ATG2CPTISIHMZI6R9F3Z3U,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:47 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Wed Nov 09 05:45:12 PST 2016,Wed Nov 09 05:51:29 PST 2016,Wed Nov 16 05:51:29 PST 2016,,,,377,98% (39/40),0% (0/1),0% (0/1),1371,https://github.com/mozilla/mozillians/pull/1288,https://github.com/mozilla/mozillians/graphs/contributors,johngian,"glogiotatidis, johngian, Sancus",3,19,{},johngian,johngian,"Sancus, johngian, ozten, tallowen, comzeradd, readevalprint, hoosteeno, davedash, tofumatt, aakashhdesai, alexgibson, dpoirier, akatsoulas, glogiotatidisSancus, johngian, ozten, tallowen, comzeradd, readevalprint, hoosteeno, davedash, tofumatt, aakashhdesai, alexgibson, dpoirier, akatsoulas, glogiotatidis",safwanrahman,N,{},"Y,core","Have you considered using deinit to remove the submodules?



$$$$



Also I would keep one file for the requirements and maybe one for dev purposes. I believe we can remove the compiled.txt.",N,{},N,{},3OCHAWUVGP8LPCZ428Q1732411UXK8,TRUE,YY,johngian merged commit 23ff2eb into mozilla:master on Jan 25,,

37SDSEDIN9QRIQEGWO3QY5UQCMJ180,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:42 PST 2016,,,AC4COL5N5DF9J,Submitted,Mon Nov 07 17:03:56 PST 2016,Mon Nov 07 17:09:08 PST 2016,Mon Nov 14 17:09:08 PST 2016,,,,312,0% (0/0),0% (0/0),0% (0/0),1374,https://github.com/apache/spark/pull/10562,https://github.com/apache/spark/graphs/contributors,asfgit,"mateiz, rxin, pwendell",5,20,{},QiangCai,QiangCai,"mateiz, rxin, pwendell, srowen",SparkQA,N,{},N,{},N,{},N,{},3GFK2QRXXA53IT9BLGQ93V5FU4UW5J,FALSE,NN,@asfgit asfgit closed this in 5d871ea on 6 Jan,,

3QMELQS6Y5ZS7HU913L7KIGCAPMR6Z,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:42 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 10:32:02 PST 2016,Mon Nov 07 10:41:30 PST 2016,Mon Nov 14 10:41:30 PST 2016,,,,568,98% (39/40),0% (0/1),0% (0/1),1377,https://github.com/cdi-spec/cdi/pull/270,https://github.com/cdi-spec/cdi/graphs/contributors,antoinesd,"pmuir, antoinesd",4,20,{},antoinesd,antoinesd,antoinesd,"tremes, mkouba, manovotn, johnament, mp911de",N,{},"Y,others","One more thing regarding reusability.

You removed methods which return raw type from Builders.java.

But the very same issue remains in BuildersProvider.java. Shouldn't we remove those as well?","Y,bug|Y,improve|Y,inconsistency","I think the name of the method javax.enterprise.inject.spi.builder.Builders#annotatedType() could be confusing. It's true that annotatedTypeBuilder is longer but perhaps little bit more clear?



$$$$



@antoinesd Although I quite like the idea of configurators there's one major issue with usability - once you invoke a configurator method on a builder instance you will not be able to call build() method anymore because you will get a configurator type. You would have to cast the result:



((AnnotatedTypeBuilder)Builders.annotatedType().removeFromType(Foo.class)).build()

Or am I missing something?



Also I'm not so sure we will be always able to initialize all builders outside of container lifecycle event notifications. Let me check again...



$$$



Looking at the PR, there is one thing I wonder about. Given the following sample:



public <T> void doStuff(@Observes ProcessAnnotatedType event) {

        event.setAnnotatedType().addToMethod(method, annotation).addToType(someAnnotation);  // +more setup 

        event.setAnnotatedType().addToMethod(anotherMethod, anotherAnnotation).addToType(someDifferentAnnotation); // invoke again with different values

    }

My questions are:



You cannot call build() here and from the PR I understood it should be built once the observer method invocation is over. Is that correct? E.g. you needn't invoke it yourself.

If so, what happens if you call the Configurator (in this code sample it is AnnotatedTypeConfigurator) twice within the method? Does it apply the latter one? Both?

EDIT: Closely related to what I said above is that we should clarify what non-reusable configurator exactly stands for. So that it eliminated bad/weird usage (as the one I showed in the code; at least to me it seems weird, yet momentarily undefined).



$$$$



@antoinesd While writing new assertions in TCK I realized that InjectionPointConfigurator provides methods for handling stereotypes. It doesn't make sense.



$$$$



This is IMHO wrong. It should be AnnotatedConstructor<? super T> constructor as well.



$$$$



I don't think these read methods make sense. The configurator should be always initialized with some AT (i.e. the class structure must be set) and then users should only be allowed to modify annotations. Maybe I'm wrong but I don't understand the purpose of these methods. Also BeforeBeanDiscovery.addAnnotatedType(String) should have a param (Class/AT) the configurator could be initialized from. Otherwise users could try to use .addAnnotatedType(String).removeFromAll() -> BANG!",N,{},351SEKWQS152HUUQWK25S9RF8D4MD1,FALSE,NN,This PR became too complicated (in its history). Code will be proposed again in a new PR soon,,

3QGTX7BCHPQ5Q4GM615FEF4BNBV5ZR,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:49 PDT 2016,,,A38NFX88VZDMJ3,Approved,Tue Oct 25 18:57:40 PDT 2016,Tue Oct 25 19:09:53 PDT 2016,Tue Nov 01 19:09:53 PDT 2016,Tue Nov 01 17:51:55 PDT 2016,,,733,100% (7/7),100% (7/7),0% (0/0),1378,https://github.com/apache/spark/pull/10609,https://github.com/apache/spark/graphs/contributors,asfgit,"mateiz, rxin, pwendell",3,20,{},zsxwing,zsxwing,"mateiz, rxin, pwendell, JoshRosen",SparkQA,"Y,core","This patch merges cleanly.



This patch passes all tests.



Good idea.",N,{},"Y,bug","This patch fails Spark unit tests.



This patch fails MiMa tests.",N,{},3LO69W1SU41LNWMWYY2YYHFNIXJGLJ,FALSE,NN,zsxwing referenced this pull request on Jan 7... Closed,,

3RTFSSG7T8UFYYE2N11FW06QSZQWLF,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,1,BatchId:2567999;,3600,604800,Tue Nov 08 16:18:36 PST 2016,,,A2958TQAW43MP6,Approved,Fri Nov 04 08:01:58 PDT 2016,Fri Nov 04 08:38:30 PDT 2016,Fri Nov 11 07:38:30 PST 2016,2016-11-11 15:38:31 UTC,,,2192,100% (12/12),100% (12/12),100% (11/11),1379,https://github.com/dokku/dokku/pull/1836,https://github.com/dokku/dokku/graphs/contributors,michaelshobbs,"josegonzalez, michaelshobbs, progrium",3,20,{},michaelshobbs,michaelshobbs,"josegonzalez, michaelshobbs, progrium, alessio, plietar",{},N,{},"Y,core","This should really be cleaned up imo. port and then ip? ew





$$$$



The pre-deploy hook is:



plugn trigger pre-deploy $APP $IMAGE_TAG",N,{},"Y,others",Should we support scripts.postdeploy as well?,3IOEN3P9S8760WTMTBBT2BTKTRY61J,TRUE,YY,michaelshobbs merged commit a9de299 into master on Feb 20,,

3KI0JD2ZU16IPYAUSPN1F1PC9DT67G,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,1,BatchId:2567999;,3600,604800,Mon Oct 31 21:50:51 PDT 2016,,,A1M6A01CROTF3K,Approved,Tue Oct 25 08:37:31 PDT 2016,Tue Oct 25 08:51:08 PDT 2016,Tue Nov 01 08:51:08 PDT 2016,2016-11-01 15:51:14 UTC,,,817,100% (9/9),100% (9/9),0% (0/0),1383,https://github.com/edx/edx-platform/pull/11166,https://github.com/edx/edx-platform/graphs/contributors,pdpinch,"cpennington, cahrens, chrisndodge",5,20,{},giocalitri,giocalitri,"cpennington, cahrens, chrisndodge","edx-webhook, giocalitri, nedbat","Y,core","Great refactoring - thanks!



$$$$



Nice work, @giocalitri - :+1: once squashed and tests pass.","Y,core","+from student.roles import CourseCcxCoachRole

+from student.tests.factories import (

+    AdminFactory,

+)

+from xmodule.modulestore.django import modulestore

+from xmodule.modulestore.tests.django_utils import (

+    SharedModuleStoreTestCase,

+    TEST_DATA_SPLIT_MODULESTORE

+)

+from xmodule.modulestore.tests.factories import (

+    CourseFactory,

+    ItemFactory,

+)

+

+

+class CcxTestCase(SharedModuleStoreTestCase):","Y,bug","The bot still does not recognize me in the AUTHORS file.



$$$$

If is_ccx is True here, won't error_code be undefined?","Y,others","@giocalitri can you rebase this?



$$$$



If is_ccx is True here, won't error_code be undefined?



$$$$



If this block throws an unhandled exception, then no response will be sent to the client? Or does DRF send over a 500 error automatically? Whichever it is, is it the desired error behavior?",3K2755HG5TRWBK29AXYSXJ7686IFDY,TRUE,YY,giocalitri deleted the mitocw:gdm_feature_ccx_actual_apis_#119 branch on Jan 28,,

31GECDVA9JAZLYWP9FI99NPGE2966H,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,1,BatchId:2567999;,3600,604800,Tue Nov 08 16:18:36 PST 2016,,,A2958TQAW43MP6,Approved,Fri Nov 04 09:06:40 PDT 2016,Fri Nov 04 09:15:11 PDT 2016,Fri Nov 11 08:15:11 PST 2016,2016-11-11 16:15:30 UTC,,,511,100% (12/12),100% (12/12),100% (11/11),1384,https://github.com/NLog/NLog/pull/1143,https://github.com/NLog/NLog/graphs/contributors,304NotModified,"jkowalski, 304NotModified, Xharze",3,20,{},304NotModified,304NotModified,"jkowalski, 304NotModified, Xharze, bhaeussermann, kevindaub",codecov-io,N,{},"Y,core","@bhaeussermann



I was thinking. This is maybe a breaking change? Before, all exception where vanished with the asynctargetwrapper. This is not the case now with throwExceptions = true.",N,{},"Y, no value|Y,others",@304NotModified I don't see that AsyncTargetWrapper throws an exception on the main thread where it did not do so before. Could you please show me the change that changes this?,3IAS3U3I0G4JVTSD86SFIAPHZY62B0,TRUE,YY,304NotModified merged commit d87bc70 into master on Jan 27,,

3QGTX7BCHPQ5Q4GM615FEF4BNBUZ5K,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:47 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 10:17:32 PST 2016,Mon Nov 07 10:23:18 PST 2016,Mon Nov 14 10:23:18 PST 2016,,,,346,98% (39/40),0% (0/1),0% (0/1),1385,https://github.com/dokku/dokku/pull/1848,https://github.com/dokku/dokku/graphs/contributors,michaelshobbs,"josegonzalez, michaelshobbs, progrium",3,20,{},u2mejc,u2mejc,"u2mejc, asm89, plietar, progrium, josegonzalez, xadh00m, michaelshobbs",{},N,{},"Y,core","Given the choice to use eval, disabling that particular lint check makes sense. However, we want the functions file to be self-sufficient by default. So moving lines 7-9 in the commands file to functions would make that true.



Additionally, I think that means you can remove the use of eval and subsequently change the single-quotes to double-quotes. Feel free to correct me if I'm wrong there.



$$$$



This should take in an APP as $1, and then use that to construct $PHASE_FILE_PATH.



$$$$



Problem is PHASE_FILE_PATH is used in a for loop that defines phase which is a component of PHASE_FILE_PATH. I think moving towards a more readable version of this plugin would be best.



$$$$



I think we should bring back get_phase_file_path() and call it thusly:



...

  for phase in ""${passed_phases[@]}""; do

    local phase_file_path=$(get_phase_file_path $phase)

...",N,{},N,{},3KKG4CDWKJMAAES3E0X7KJRPV1294A,TRUE,YY,michaelshobbs merged commit bc00acb into dokku:master on Jan 14,,

33K3E8REWWJZ8RZ93HOXTEYRH1Y8XZ,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:51 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:48 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 07:39:20 PST 2016,Mon Nov 07 07:47:23 PST 2016,Mon Nov 14 07:47:23 PST 2016,,,,483,98% (39/40),0% (0/1),0% (0/1),1388,https://github.com/TerriaJS/terriajs/pull/1213,https://github.com/TerriaJS/terriajs/graphs/contributors,kring,"kring, RacingTadpole, chloeleichen",3,21,{},AlexGilleran,AlexGilleran,"steve9164, chloeleichen, sppigot, kgrochow, AlexGilleran, stevage, meh9, rdengate, kring, RacingTadpole",{},N,{},"Y,core","There are two deprecation warnings at startup:



Use CatalogGroup.getChildForShareKey where possible, this is retained for backwards compatibility with existing share links.

dataSetID is deprecated. Please set datasetId instead.

If we want to remove these from the public API but we still need to use them internally, create a new private API for our use and make the public one call deprecationWarning before calling the private one.



Or maybe these (especially findFirstItemByName) are still useful and we shouldn't deprecate them at all? I previously suggested adding deprecationWarning, but that might have been bad advice. Maybe I should have suggested just toning down the ""this is deprecated"" language in the documentation instead (e.g. Consider using {@link CatalogGroup#getChildForShareKey} where possible as it provides an improved way of finding a catalog member that is resistant to renames.)","Y,bug|Y,improve","It seems in this branch we now only serialize the IDs of catalog items that are opened or enabled? That's not sufficient. We lose the opacity setting on sharing, for example. And some catalog items (e.g. CSV, ABS) have other settings that need to be serialized as well, such as the selected data variable.



$$$$



Just FYI: the ABS layers are broken in this branch at the moment, but I think merging in master should fix it.



$$$$



It seems catalog items won't be shared if they're inside groups that are closed. For example:



Open Data.gov.au -> Australian Taxation Office.

Enable both 2011-2012 and 2012-2013 datasets.

Close the Australian Taxation Office group.

Click Share and load the URL in a new window.

The Now Viewing will be blank.



$$$$



Sharing is including too much information about custom items. For example:



Click Add Data, enter http://geofabric.bom.gov.au/simplefeatures/ows

Open Geofabric 2.1.1 - Web Map Service, Aquifer Contours 2.1

Enable AHGFAquiferContour

Click Share

The share link goes on for pages, and copying it makes Chrome noticeably slow on my system. The one on nationalmap.gov.au is (relatively) short in comparison. The problem is that the URL in this branch unnecessarily includes details of all the layers queried from the WMS GetCapabilities",N,{},3GS6S824SRL78IFHPGMVXC50KIMNWB,TRUE,YY,kring merged commit d595b8d into master on Jan 29,,

3RWB1RTQDJBUZIXIHQEGZ1COF2P8PB,3GSIANI2QT1P641SSQVC59IHABEPDF,Batch Task: Tagging Github Comments. (GitHub User Only.),Read comments for pull requests. Then answer 5 questions. Detailed Instruction and examples are offered.,"Batch, Tag, Tagging, Github, Comment, Quick, Easy.",$0.50 ,Mon Oct 24 21:50:49 PDT 2016,2,BatchId:2567999;,3600,604800,Mon Nov 21 06:26:42 PST 2016,,,ABFSVRWVFHZ6P,Submitted,Mon Nov 07 06:34:30 PST 2016,Mon Nov 07 06:42:49 PST 2016,Mon Nov 14 06:42:49 PST 2016,,,,499,98% (39/40),0% (0/1),0% (0/1),1391,https://github.com/apache/spark/pull/10607,https://github.com/apache/spark/graphs/contributors,asfgit,"mateiz, rxin, pwendell",4,21,{},sethah,sethah,"mateiz, rxin, pwendell, davies, tdas, JoshRosen, srowen, ScrapCodes, ankurdave, jegonzal, holdenk, markhamstra mateiz, rxin, pwendell, JoshRosen, tdas, ankurdave, srowen, marmbrus, ScrapCodes, aarondav, andrewor14, kayousterhout, jegonzal,  holdenk, markhamstra, mengxr","sethah, MLnick, jkbradley, SparkQA","Y,core|Y,others","I like this approach - and it looks to mirror the approach taken when ALS was ported over (namely their is a train function in the new ALS code marked as a developer API taking the old format of inputs). We could also convert the RDD of LabeledPoints to a DataFrame (which is something I remember being asked to do in one of my previous PRs). @jkbradley & @dbtsai what are your thoughts on this?



$$$$



@sethah given it's a copy of MLLIb impl, and given test passes and the smaller spark-perf tests, I'm comfortable moving ahead. We should still run the larger scale tests ASAP to check, but I don't think it should be a blocker.



$$$$



This seems fine for now as it is private. The main idea with this PR will be to start the migration. As part of the remaining steps in SPARK-12326, there should be plenty of opportunity to clean things up.



$$$$



Thanks for doing this migration. I checked the PR and it LGTM



Your tests look good to me. The tests all seem fairly close, except for a couple of outliers, but even those seem within a standard deviation or so (the 2nd value in spark-perf results). Thanks for running them!



Also @MLnick



As part of those tickets, I think we can clean up this ML impl and interfaces if required (e.g. we could look at removing theprivate [ml] train method in favour of one in MLLIb that converts RDDs to DataFrame and calls ML, we can make more stuff private where possible, etc). But I think it'll be a lot easier to clean things up once everything is in ML.

